circuit_key,algorithm,size,circuit_kind,strategy,fixed_budget,scheme,k,subset_key,backends,backend_labels,weights,shots_total,reference_shots_total,shots_saved,ssr,parallel_ssr,tvd,diversity_global,diversity_on_circuit
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,2,fake_kyiv+fake_sherbrooke,"[""fake_kyiv"", ""fake_sherbrooke""]","[""kyiv"", ""sherbrooke""]","[0.5, 0.5]",20000,40000,20000,0.5,0.5,0.010925000000000032,0.1422180555555557,0.03889999999999996
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,2,fake_kyiv+fake_sherbrooke,"[""fake_kyiv"", ""fake_sherbrooke""]","[""kyiv"", ""sherbrooke""]","[0.5, 0.5]",30000,40000,10000,0.25,0.25,0.007308333333333363,0.1422180555555557,0.03889999999999996
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,2,fake_kyiv+fake_sherbrooke,"[""fake_kyiv"", ""fake_sherbrooke""]","[""kyiv"", ""sherbrooke""]","[0.5, 0.5]",36000,40000,4000,0.09999999999999998,0.09999999999999998,0.004069444444444501,0.1422180555555557,0.03889999999999996
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,2,fake_kyiv+fake_torino,"[""fake_kyiv"", ""fake_torino""]","[""kyiv"", ""torino""]","[0.5, 0.5]",2000,40000,38000,0.95,0.95,0.0401249999999999,0.15390555555555568,0.04324999999999999
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,2,fake_kyiv+fake_torino,"[""fake_kyiv"", ""fake_torino""]","[""kyiv"", ""torino""]","[0.5, 0.5]",5000,40000,35000,0.875,0.875,0.02839999999999994,0.15390555555555568,0.04324999999999999
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,2,fake_kyiv+fake_torino,"[""fake_kyiv"", ""fake_torino""]","[""kyiv"", ""torino""]","[0.5, 0.5]",10000,40000,30000,0.75,0.75,0.018874999999999992,0.15390555555555568,0.04324999999999999
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,2,fake_kyiv+fake_torino,"[""fake_kyiv"", ""fake_torino""]","[""kyiv"", ""torino""]","[0.5, 0.5]",20000,40000,20000,0.5,0.5,0.012000000000000052,0.15390555555555568,0.04324999999999999
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,2,fake_kyiv+fake_torino,"[""fake_kyiv"", ""fake_torino""]","[""kyiv"", ""torino""]","[0.5, 0.5]",30000,40000,10000,0.25,0.25,0.006725000000000027,0.15390555555555568,0.04324999999999999
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,2,fake_kyiv+fake_torino,"[""fake_kyiv"", ""fake_torino""]","[""kyiv"", ""torino""]","[0.5, 0.5]",36000,40000,4000,0.09999999999999998,0.09999999999999998,0.0031638888888888754,0.15390555555555568,0.04324999999999999
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,2,fake_marrakesh+fake_sherbrooke,"[""fake_marrakesh"", ""fake_sherbrooke""]","[""marrakesh"", ""sherbrooke""]","[0.5, 0.5]",2000,40000,38000,0.95,0.95,0.033674999999999906,0.20787708333333357,0.11894999999999982
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,2,fake_marrakesh+fake_sherbrooke,"[""fake_marrakesh"", ""fake_sherbrooke""]","[""marrakesh"", ""sherbrooke""]","[0.5, 0.5]",5000,40000,35000,0.875,0.875,0.026549999999999917,0.20787708333333357,0.11894999999999982
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,2,fake_marrakesh+fake_sherbrooke,"[""fake_marrakesh"", ""fake_sherbrooke""]","[""marrakesh"", ""sherbrooke""]","[0.5, 0.5]",10000,40000,30000,0.75,0.75,0.016274999999999932,0.20787708333333357,0.11894999999999982
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,2,fake_marrakesh+fake_sherbrooke,"[""fake_marrakesh"", ""fake_sherbrooke""]","[""marrakesh"", ""sherbrooke""]","[0.5, 0.5]",20000,40000,20000,0.5,0.5,0.00962500000000004,0.20787708333333357,0.11894999999999982
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,2,fake_marrakesh+fake_sherbrooke,"[""fake_marrakesh"", ""fake_sherbrooke""]","[""marrakesh"", ""sherbrooke""]","[0.5, 0.5]",30000,40000,10000,0.25,0.25,0.004650000000000023,0.20787708333333357,0.11894999999999982
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,2,fake_marrakesh+fake_sherbrooke,"[""fake_marrakesh"", ""fake_sherbrooke""]","[""marrakesh"", ""sherbrooke""]","[0.5, 0.5]",36000,40000,4000,0.09999999999999998,0.09999999999999998,0.00299722222222222,0.20787708333333357,0.11894999999999982
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,2,fake_marrakesh+fake_torino,"[""fake_marrakesh"", ""fake_torino""]","[""marrakesh"", ""torino""]","[0.5, 0.5]",2000,40000,38000,0.95,0.95,0.038274999999999934,0.17869652777777756,0.10149999999999977
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,2,fake_marrakesh+fake_torino,"[""fake_marrakesh"", ""fake_torino""]","[""marrakesh"", ""torino""]","[0.5, 0.5]",5000,40000,35000,0.875,0.875,0.02750000000000001,0.17869652777777756,0.10149999999999977
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,2,fake_marrakesh+fake_torino,"[""fake_marrakesh"", ""fake_torino""]","[""marrakesh"", ""torino""]","[0.5, 0.5]",10000,40000,30000,0.75,0.75,0.018299999999999917,0.17869652777777756,0.10149999999999977
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,2,fake_marrakesh+fake_torino,"[""fake_marrakesh"", ""fake_torino""]","[""marrakesh"", ""torino""]","[0.5, 0.5]",20000,40000,20000,0.5,0.5,0.010025000000000065,0.17869652777777756,0.10149999999999977
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,2,fake_marrakesh+fake_torino,"[""fake_marrakesh"", ""fake_torino""]","[""marrakesh"", ""torino""]","[0.5, 0.5]",30000,40000,10000,0.25,0.25,0.0053250000000000155,0.17869652777777756,0.10149999999999977
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,2,fake_marrakesh+fake_torino,"[""fake_marrakesh"", ""fake_torino""]","[""marrakesh"", ""torino""]","[0.5, 0.5]",36000,40000,4000,0.09999999999999998,0.09999999999999998,0.0029749999999999673,0.17869652777777756,0.10149999999999977
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,2,fake_sherbrooke+fake_torino,"[""fake_sherbrooke"", ""fake_torino""]","[""sherbrooke"", ""torino""]","[0.5, 0.5]",2000,40000,38000,0.95,0.95,0.03924999999999991,0.1483972222222224,0.03794999999999997
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,2,fake_sherbrooke+fake_torino,"[""fake_sherbrooke"", ""fake_torino""]","[""sherbrooke"", ""torino""]","[0.5, 0.5]",5000,40000,35000,0.875,0.875,0.034249999999999954,0.1483972222222224,0.03794999999999997
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,2,fake_sherbrooke+fake_torino,"[""fake_sherbrooke"", ""fake_torino""]","[""sherbrooke"", ""torino""]","[0.5, 0.5]",10000,40000,30000,0.75,0.75,0.02037499999999993,0.1483972222222224,0.03794999999999997
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,2,fake_sherbrooke+fake_torino,"[""fake_sherbrooke"", ""fake_torino""]","[""sherbrooke"", ""torino""]","[0.5, 0.5]",20000,40000,20000,0.5,0.5,0.01007500000000004,0.1483972222222224,0.03794999999999997
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,2,fake_sherbrooke+fake_torino,"[""fake_sherbrooke"", ""fake_torino""]","[""sherbrooke"", ""torino""]","[0.5, 0.5]",30000,40000,10000,0.25,0.25,0.004899999999999996,0.1483972222222224,0.03794999999999997
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,2,fake_sherbrooke+fake_torino,"[""fake_sherbrooke"", ""fake_torino""]","[""sherbrooke"", ""torino""]","[0.5, 0.5]",36000,40000,4000,0.09999999999999998,0.09999999999999998,0.002955555555555538,0.1483972222222224,0.03794999999999997
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,3,fake_fez+fake_kyiv+fake_marrakesh,"[""fake_fez"", ""fake_kyiv"", ""fake_marrakesh""]","[""fez"", ""kyiv"", ""marrakesh""]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",3000,60000,57000,0.95,0.95,0.026816666666666725,0.17799120370370378,0.0894499999999999
dj_10_circuit,dj,10,circuit,fixed_2500_uniform,2500,uniform,3,fake_fez+fake_kyiv+fake_marrakesh,"[""fake_fez"", ""fake_kyiv"", ""fake_marrakesh""]","[""fez"", ""kyiv"", ""marrakesh""]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",7500,60000,52500,0.875,0.875,0.018399999999999948,0.17799120370370378,0.0894499999999999
dj_10_circuit,dj,10,circuit,fixed_5000_uniform,5000,uniform,3,fake_fez+fake_kyiv+fake_marrakesh,"[""fake_fez"", ""fake_kyiv"", ""fake_marrakesh""]","[""fez"", ""kyiv"", ""marrakesh""]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",15000,60000,45000,0.75,0.75,0.011416666666666703,0.17799120370370378,0.0894499999999999
dj_10_circuit,dj,10,circuit,fixed_10000_uniform,10000,uniform,3,fake_fez+fake_kyiv+fake_marrakesh,"[""fake_fez"", ""fake_kyiv"", ""fake_marrakesh""]","[""fez"", ""kyiv"", ""marrakesh""]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",30000,60000,30000,0.5,0.5,0.007433333333333406,0.17799120370370378,0.0894499999999999
dj_10_circuit,dj,10,circuit,fixed_15000_uniform,15000,uniform,3,fake_fez+fake_kyiv+fake_marrakesh,"[""fake_fez"", ""fake_kyiv"", ""fake_marrakesh""]","[""fez"", ""kyiv"", ""marrakesh""]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",45000,60000,15000,0.25,0.25,0.004411111111111196,0.17799120370370378,0.0894499999999999
dj_10_circuit,dj,10,circuit,fixed_18000_uniform,18000,uniform,3,fake_fez+fake_kyiv+fake_marrakesh,"[""fake_fez"", ""fake_kyiv"", ""fake_marrakesh""]","[""fez"", ""kyiv"", ""marrakesh""]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",54000,60000,6000,0.09999999999999998,0.09999999999999998,0.002396296296296366,0.17799120370370378,0.0894499999999999
dj_10_circuit,dj,10,circuit,fixed_1000_uniform,1000,uniform,3,fake_fez+fake_kyiv+fake_sherbrooke,"[""fake_fez"", ""fake_kyiv"", ""fake_sherbrooke""]","[""fez"", ""kyiv"", ""sherbrooke""]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",3000,60000,57000,0.95,0.95,0.0338166666666666,0.17192106481481487,0.09121666666666654
