policy,scheme,k,circuit_key,algorithm,size,circuit_kind,circuit_median_tvd,circuit_mean_tvd,circuit_max_tvd,circuit_median_ssr,circuit_mean_ssr,circuit_median_parallel_ssr,circuit_mean_parallel_ssr,subset_rows,subsets
local_only_offline_aggregate,confidence,2,vqe_8_circuit,vqe,8,circuit,0.017574533622849827,0.017081400278875936,0.021573945116553597,0.8175,0.8164999999999999,0.79,0.796,10,10
local_only_offline_aggregate,confidence,2,vqe_9_circuit,vqe,9,circuit,0.017462360072707794,0.017403708893167905,0.021299081056234518,0.82125,0.82,0.7975,0.799,10,10
local_only_offline_aggregate,confidence,3,dj_10_circuit,dj,10,circuit,0.015974991001386843,0.01634203789963681,0.018218698206200867,0.8087500000000001,0.8130000000000001,0.775,0.77625,10,10
local_only_offline_aggregate,confidence,3,dj_11_circuit,dj,11,circuit,0.01889904573677703,0.01930535808438531,0.022244679462944388,0.7875000000000001,0.788,0.725,0.734,10,10
local_only_offline_aggregate,confidence,3,dj_12_circuit,dj,12,circuit,0.019808369813367012,0.01991826272427393,0.022675829265260572,0.7508333333333334,0.7545,0.6925,0.704,10,10
local_only_offline_aggregate,confidence,3,dj_13_circuit,dj,13,circuit,0.0219174117154007,0.02182521513225026,0.026045699537681218,0.7629166666666667,0.7625,0.7150000000000001,0.72075,10,10
local_only_offline_aggregate,confidence,3,dj_14_circuit,dj,14,circuit,0.023252676682765875,0.02303631284951934,0.02618333855465939,0.7112499999999999,0.716,0.63,0.662,10,10
local_only_offline_aggregate,confidence,3,dj_15_circuit,dj,15,circuit,0.026473728999870293,0.026052752284007264,0.029410851332567108,0.6741666666666666,0.679,0.5475,0.584,10,10
local_only_offline_aggregate,confidence,3,dj_4_circuit,dj,4,circuit,0.006908722379747271,0.005933490298038432,0.008429385536376137,0.9512499999999999,0.952,0.9375,0.9414999999999999,10,10
local_only_offline_aggregate,confidence,3,dj_5_circuit,dj,5,circuit,0.00671792711037395,0.006531926975425072,0.00903787510773331,0.9304166666666667,0.931,0.91,0.914,10,10
local_only_offline_aggregate,confidence,3,dj_6_circuit,dj,6,circuit,0.008787901499571732,0.008494029816386693,0.010571591770393844,0.9016666666666666,0.9029999999999999,0.8875,0.8895,10,10
local_only_offline_aggregate,confidence,3,dj_7_circuit,dj,7,circuit,0.00984095907971572,0.010063757379289696,0.011910084907966655,0.8741666666666668,0.8745,0.8425,0.8515,10,10
