split_id,split_mode,repetition,config_id,policy,scheme,train_rows,train_circuit_configs,train_k_values,train_median_tvd,train_q75_tvd,train_q95_tvd,train_max_tvd,train_valid_rate_tvd_le_0p01,train_valid_rate_tvd_le_0p05,train_valid_rate_tvd_le_0p1,train_median_ssr,train_q25_ssr,train_median_parallel_ssr,train_median_total_shots,train_median_max_backend_shots,train_selection_risk,train_selection_risk_detail_json,selection_target_tvd,selection_risk_group,selection_risk_aggregation,selection_objective,selection_relaxed
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,uniform,300,60,5,0.0229734419991772,0.029364526100005676,0.0394581029886601,0.0487676470588226,0.24333333333333335,1.0,1.0,0.765,0.18046874999999993,0.765,12850.0,4700.0,0.0464348367023305,"{""10"": 0.03316349397590344, ""11"": 0.03630774972558913, ""12"": 0.038403211945158056, ""13"": 0.03924392266643705, ""14"": 0.0464348367023305, ""15"": 0.04571281121448987, ""4"": 0.026675692307692258, ""5"": 0.02671326603812257, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.03054480829420962, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,local_only_offline_aggregate,confidence,300,60,5,0.0153151264442049,0.021413921990083448,0.03371837222019748,0.0487676470588226,0.32666666666666666,1.0,1.0,0.6546875,0.0,0.6275,19250.0,7450.0,0.04444857560869271,"{""10"": 0.03316349397590344, ""11"": 0.03294805531621946, ""12"": 0.033099904134307044, ""13"": 0.03471659415137196, ""14"": 0.04359136614171979, ""15"": 0.04444857560869271, ""4"": 0.02596470085470079, ""5"": 0.026509085365853648, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.02723333333333326, ""9"": 0.027466560277478378}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,local_only_offline_aggregate,shot_proportional,300,60,5,0.015216005262399,0.02156248034591185,0.034313216907411646,0.0487676470588226,0.31666666666666665,1.0,1.0,0.6546875,0.0,0.6275,19250.0,7450.0,0.044597747228768095,"{""10"": 0.03316349397590344, ""11"": 0.032883453113182796, ""12"": 0.03332071283442773, ""13"": 0.034828232894523775, ""14"": 0.04373873911116607, ""15"": 0.044597747228768095, ""4"": 0.02596470085470079, ""5"": 0.026509085365853648, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.02723333333333326, ""9"": 0.02744872620933198}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep002,stratified_size,2,b50_lb3_k1_eps0p005,local_only_offline_aggregate,uniform,300,60,5,0.0152634298990339,0.021351616325819524,0.033646266854019606,0.0487676470588226,0.3233333333333333,1.0,1.0,0.6546875,0.0,0.6275,19250.0,7450.0,0.04446098531746419,"{""10"": 0.03316349397590344, ""11"": 0.03295921795216744, ""12"": 0.03308930043296372, ""13"": 0.034715765998801836, ""14"": 0.04358910340361433, ""15"": 0.04446098531746419, ""4"": 0.02596470085470079, ""5"": 0.026509085365853648, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.02723333333333326, ""9"": 0.0274672761975962}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep003,stratified_size,3,b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,300,60,5,0.0214442129629629,0.02832584216406895,0.03706226117190988,0.0487676470588226,0.2966666666666667,1.0,1.0,0.719375,0.0,0.719375,15075.0,5612.5,0.04563150557113503,"{""10"": 0.033149493975903416, ""11"": 0.03630774972558913, ""12"": 0.038403211945158056, ""13"": 0.03705693713361588, ""14"": 0.0446499459193702, ""15"": 0.04563150557113503, ""4"": 0.026664245001067337, ""5"": 0.026804534083802393, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.03020535410897194, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep003,stratified_size,3,b50_lb3_k1_eps0p005,aggregate_only_sync,shot_proportional,300,60,5,0.0214442129629629,0.02832584216406895,0.03706226117190988,0.0487676470588226,0.2966666666666667,1.0,1.0,0.719375,0.0,0.719375,15075.0,5612.5,0.04563150557113503,"{""10"": 0.033149493975903416, ""11"": 0.03630774972558913, ""12"": 0.038403211945158056, ""13"": 0.03705693713361588, ""14"": 0.0446499459193702, ""15"": 0.04563150557113503, ""4"": 0.026664245001067337, ""5"": 0.026804534083802393, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.03020535410897194, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep003,stratified_size,3,b50_lb3_k1_eps0p005,aggregate_only_sync,uniform,300,60,5,0.0214442129629629,0.02832584216406895,0.03706226117190988,0.0487676470588226,0.2966666666666667,1.0,1.0,0.719375,0.0,0.719375,15075.0,5612.5,0.04563150557113503,"{""10"": 0.033149493975903416, ""11"": 0.03630774972558913, ""12"": 0.038403211945158056, ""13"": 0.03705693713361588, ""14"": 0.0446499459193702, ""15"": 0.04563150557113503, ""4"": 0.026664245001067337, ""5"": 0.026804534083802393, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.03020535410897194, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep003,stratified_size,3,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,confidence,300,60,5,0.021292577337405652,0.027764766264934525,0.036815150608216954,0.0487676470588226,0.29333333333333333,1.0,1.0,0.719375,0.0,0.719375,14750.0,5612.5,0.045395667725050305,"{""10"": 0.033119591706610316, ""11"": 0.036067426031280755, ""12"": 0.03794981459711218, ""13"": 0.03827378905419623, ""14"": 0.04494450210908034, ""15"": 0.045395667725050305, ""4"": 0.0266499759194632, ""5"": 0.026804534083802393, ""6"": 0.030574699103713097, ""7"": 0.030690861876229717, ""8"": 0.03026080909452988, ""9"": 0.03331157034604539}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep003,stratified_size,3,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,300,60,5,0.0214442129629629,0.02860771627565965,0.03830122892058643,0.0487676470588226,0.2966666666666667,1.0,1.0,0.719375,0.0,0.719375,14750.0,5612.5,0.046328715771135294,"{""10"": 0.033149493975903416, ""11"": 0.03630774972558913, ""12"": 0.038403211945158056, ""13"": 0.03925710659422953, ""14"": 0.046328715771135294, ""15"": 0.04574043786561663, ""4"": 0.026664245001067337, ""5"": 0.026804534083802393, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.03020535410897194, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep003,stratified_size,3,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,uniform,300,60,5,0.0214442129629629,0.02860771627565965,0.03830122892058643,0.0487676470588226,0.2966666666666667,1.0,1.0,0.719375,0.0,0.719375,14750.0,5612.5,0.046258332778332016,"{""10"": 0.033149493975903416, ""11"": 0.03630774972558913, ""12"": 0.038403211945158056, ""13"": 0.03924392266643705, ""14"": 0.046258332778332016, ""15"": 0.04571281121448987, ""4"": 0.026664245001067337, ""5"": 0.026804534083802393, ""6"": 0.030574699103713097, ""7"": 0.030661720154043615, ""8"": 0.03020535410897194, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
