strategy,strategy_family,config_id,batch_size,lookback_batches,stability,epsilon,traces,success_rate,median_shots,mean_shots,p95_shots,max_shots,median_tvd,mean_tvd,p95_tvd,max_tvd,stable_stop_rate,max_budget_rate
stable_shots_b250_lb1_k1_eps0p005,stable_shots,b250_lb1_k1_eps0p005,250.0,1.0,1.0,0.005,180,1.0,8875.0,11252.777777777777,20000.0,20000.0,0.01465227272727265,0.013433784653640727,0.031116894409937843,0.0382833333333333,0.6777777777777778,0.32222222222222224
stable_shots_b250_lb1_k1_eps0p0025,stable_shots,b250_lb1_k1_eps0p0025,250.0,1.0,1.0,0.0025,180,1.0,17500.0,14070.833333333334,20000.0,20000.0,0.0051369047619047,0.006353705681010674,0.01738296511627906,0.0218620689655172,0.55,0.45
stable_shots_b250_lb1_k1_eps0p001,stable_shots,b250_lb1_k1_eps0p001,250.0,1.0,1.0,0.001,180,1.0,20000.0,17250.0,20000.0,20000.0,0.0,0.0015966651197500661,0.0068990606060605544,0.0097088235294117,0.32222222222222224,0.6777777777777778
stable_shots_b250_lb1_k2_eps0p005,stable_shots,b250_lb1_k2_eps0p005,250.0,1.0,2.0,0.005,180,1.0,9625.0,11748.611111111111,20000.0,20000.0,0.0108516666666666,0.01151613086891827,0.02870384615384615,0.0356055555555555,0.6444444444444445,0.35555555555555557
stable_shots_b250_lb1_k2_eps0p0025,stable_shots,b250_lb1_k2_eps0p0025,250.0,1.0,2.0,0.0025,180,1.0,18750.0,14670.833333333334,20000.0,20000.0,0.0036664141414141,0.005263266831641792,0.014831325757575753,0.018611111111111,0.5222222222222223,0.4777777777777778
stable_shots_b250_lb1_k2_eps0p001,stable_shots,b250_lb1_k2_eps0p001,250.0,1.0,2.0,0.001,180,1.0,20000.0,17987.5,20000.0,20000.0,0.0,0.0009561249014454882,0.0044913675213675295,0.0080490196078431,0.25555555555555554,0.7444444444444445
stable_shots_b250_lb1_k3_eps0p005,stable_shots,b250_lb1_k3_eps0p005,250.0,1.0,3.0,0.005,180,1.0,10250.0,12102.777777777777,20000.0,20000.0,0.0099782608695652,0.010577777539593946,0.027548256528417785,0.0340499999999999,0.6277777777777778,0.37222222222222223
stable_shots_b250_lb1_k3_eps0p0025,stable_shots,b250_lb1_k3_eps0p0025,250.0,1.0,3.0,0.0025,180,1.0,19375.0,15073.611111111111,20000.0,20000.0,0.00123684210526315,0.00470531827745802,0.013613851351351297,0.0170928571428571,0.5055555555555555,0.49444444444444446
stable_shots_b250_lb1_k3_eps0p001,stable_shots,b250_lb1_k3_eps0p001,250.0,1.0,3.0,0.001,180,1.0,20000.0,18304.166666666668,20000.0,20000.0,0.0,0.0007042188072253239,0.004061709401709347,0.0079115384615384,0.2111111111111111,0.7888888888888889
stable_shots_b250_lb1_k5_eps0p005,stable_shots,b250_lb1_k5_eps0p005,250.0,1.0,5.0,0.005,180,1.0,11000.0,12490.277777777777,20000.0,20000.0,0.00869281609195395,0.009807204385262563,0.025949935064935037,0.0330833333333333,0.6,0.4
stable_shots_b250_lb1_k5_eps0p0025,stable_shots,b250_lb1_k5_eps0p0025,250.0,1.0,5.0,0.0025,180,1.0,20000.0,15640.277777777777,20000.0,20000.0,0.0,0.0037907786814919725,0.012326193633952239,0.0164862068965517,0.4888888888888889,0.5111111111111111
stable_shots_b250_lb1_k5_eps0p001,stable_shots,b250_lb1_k5_eps0p001,250.0,1.0,5.0,0.001,180,1.0,20000.0,18601.38888888889,20000.0,20000.0,0.0,0.0005409486561821122,0.0034964634146341126,0.0063055555555555,0.19444444444444445,0.8055555555555556
