trace_id,algorithm,size,backend,strategy,strategy_family,shots,target_tvd,original_tvd_to_reference,original_success,boot_mean_tvd_independent_ref,boot_ci2p5_tvd_independent_ref,boot_ci50_tvd_independent_ref,boot_ci97p5_tvd_independent_ref,boot_p_success_independent_ref,boot_mean_tvd_to_phat,boot_ci97p5_tvd_to_phat,floor_mean_tvd_20k_vs_20k,floor_ci97p5_tvd_20k_vs_20k
qaoa_5_fake_torino,qaoa,5,fake_torino,StableShots,stable_shots,5100,0.05,0.015262745098039206,True,0.027397507843137256,0.018557083333333335,0.027363235294117647,0.03673600490196078,1.0,0.024609837254901963,0.03280205882352941,0.0176084,0.02367874999999998
qaoa_6_fake_fez,qaoa,6,fake_fez,Fixed-5k,fixed,5000,0.05,0.026000000000000013,True,0.0366869,0.027299999999999994,0.036449999999999996,0.04625499999999999,0.998,0.0326657,0.04075249999999999,0.0231097,0.029378750000000002
qaoa_6_fake_fez,qaoa,6,fake_fez,Fixed-10k,fixed,10000,0.05,0.014000000000000005,True,0.028430100000000003,0.0217,0.028249999999999994,0.0357525,1.0,0.023218300000000004,0.029528749999999996,0.0231097,0.029378750000000002
qaoa_6_fake_fez,qaoa,6,fake_fez,Fixed-18k,fixed,18000,0.05,0.005283333333333344,True,0.023811722222222224,0.018224027777777783,0.023786111111111126,0.029974583333333322,1.0,0.017410766666666667,0.021750277777777778,0.0231097,0.029378750000000002
qaoa_6_fake_fez,qaoa,6,fake_fez,StableShots,stable_shots,5700,0.05,0.023150877192982408,True,0.034883870175438605,0.02678666666666666,0.03481491228070176,0.043283881578947365,1.0,0.030747261403508773,0.03936508771929824,0.0231097,0.029378750000000002
qaoa_6_fake_kyiv,qaoa,6,fake_kyiv,Fixed-5k,fixed,5000,0.05,0.023850000000000003,True,0.03945359999999999,0.030718749999999993,0.039325,0.048350000000000004,0.99,0.035397000000000005,0.04401,0.025021,0.030902500000000003
qaoa_6_fake_kyiv,qaoa,6,fake_kyiv,Fixed-10k,fixed,10000,0.05,0.014599999999999978,True,0.030677,0.023797500000000003,0.030499999999999996,0.03925999999999999,1.0,0.025339100000000003,0.03182624999999999,0.025021,0.030902500000000003
qaoa_6_fake_kyiv,qaoa,6,fake_kyiv,Fixed-18k,fixed,18000,0.05,0.005333333333333335,True,0.025808766666666667,0.01978402777777778,0.025716666666666672,0.03178555555555555,1.0,0.018751144444444444,0.023407083333333325,0.025021,0.030902500000000003
qaoa_6_fake_kyiv,qaoa,6,fake_kyiv,StableShots,stable_shots,6250,0.05,0.023880000000000012,True,0.03597388,0.02821799999999999,0.035775,0.04554474999999999,0.996,0.03160076,0.03982824999999999,0.025021,0.030902500000000003
qaoa_6_fake_marrakesh,qaoa,6,fake_marrakesh,Fixed-5k,fixed,5000,0.05,0.02335000000000002,True,0.0358951,0.027963750000000002,0.035525,0.044954999999999995,0.994,0.032141199999999995,0.040176250000000004,0.0228333,0.029152500000000005
qaoa_6_fake_marrakesh,qaoa,6,fake_marrakesh,Fixed-10k,fixed,10000,0.05,0.01535000000000001,True,0.027680399999999997,0.0211,0.02749999999999998,0.034600000000000006,1.0,0.0225135,0.028526250000000003,0.0228333,0.029152500000000005
qaoa_6_fake_marrakesh,qaoa,6,fake_marrakesh,Fixed-18k,fixed,18000,0.05,0.004855555555555554,True,0.023299555555555556,0.01817166666666667,0.023172222222222226,0.029024166666666663,1.0,0.016943933333333334,0.021069583333333336,0.0228333,0.029152500000000005
qaoa_6_fake_marrakesh,qaoa,6,fake_marrakesh,StableShots,stable_shots,6100,0.05,0.021782786885245913,True,0.03304065409836066,0.024732069672131138,0.03284508196721311,0.04237231557377049,1.0,0.028817670491803275,0.0370551844262295,0.0228333,0.029152500000000005
qaoa_6_fake_sherbrooke,qaoa,6,fake_sherbrooke,Fixed-5k,fixed,5000,0.05,0.029599999999999998,True,0.0394665,0.030873750000000002,0.03910000000000001,0.05054874999999999,0.972,0.03517100000000001,0.044052499999999994,0.025504000000000002,0.03155
qaoa_6_fake_sherbrooke,qaoa,6,fake_sherbrooke,Fixed-10k,fixed,10000,0.05,0.01765,True,0.0303813,0.02374750000000001,0.03005,0.03822875,1.0,0.024822399999999998,0.03102875,0.025504000000000002,0.03155
qaoa_6_fake_sherbrooke,qaoa,6,fake_sherbrooke,Fixed-18k,fixed,18000,0.05,0.006361111111111115,True,0.025856255555555555,0.020272638888888885,0.02583333333333334,0.03187625000000001,1.0,0.018692755555555555,0.023246944444444445,0.025504000000000002,0.03155
qaoa_6_fake_sherbrooke,qaoa,6,fake_sherbrooke,StableShots,stable_shots,6550,0.05,0.023013358778625967,True,0.0354674572519084,0.027675305343511446,0.03535362595419846,0.04314778625954197,0.998,0.031012219083969464,0.03834794847328243,0.025504000000000002,0.03155
qaoa_6_fake_torino,qaoa,6,fake_torino,Fixed-5k,fixed,5000,0.05,0.029050000000000003,True,0.0388811,0.03086375,0.03870000000000001,0.048602499999999986,0.988,0.0350543,0.04255249999999999,0.024703899999999997,0.030126249999999997
qaoa_6_fake_torino,qaoa,6,fake_torino,Fixed-10k,fixed,10000,0.05,0.019,True,0.0304639,0.02392375,0.030149999999999993,0.03850500000000001,1.0,0.024944,0.030802499999999986,0.024703899999999997,0.030126249999999997
qaoa_6_fake_torino,qaoa,6,fake_torino,Fixed-18k,fixed,18000,0.05,0.005583333333333317,True,0.025542388888888885,0.019286388888888898,0.025522222222222217,0.03205249999999999,1.0,0.018509155555555556,0.023250694444444445,0.024703899999999997,0.030126249999999997
