trace_id,algorithm,size,backend,reference_shots,floor_mean_tvd_20k_vs_20k,floor_ci2p5_tvd_20k_vs_20k,floor_ci50_tvd_20k_vs_20k,floor_ci97p5_tvd_20k_vs_20k
qaoa_6_fake_sherbrooke,qaoa,6,fake_sherbrooke,20000,0.025504000000000002,0.02032125,0.025275000000000002,0.03155
qaoa_6_fake_torino,qaoa,6,fake_torino,20000,0.024703899999999997,0.0192475,0.024550000000000013,0.030126249999999997
qaoa_7_fake_fez,qaoa,7,fake_fez,20000,0.034442,0.029197499999999998,0.034574999999999995,0.04055249999999999
qaoa_7_fake_kyiv,qaoa,7,fake_kyiv,20000,0.0370492,0.031673749999999994,0.0369,0.043050000000000005
qaoa_7_fake_marrakesh,qaoa,7,fake_marrakesh,20000,0.0338166,0.028321250000000003,0.033800000000000004,0.04010500000000001
qaoa_7_fake_sherbrooke,qaoa,7,fake_sherbrooke,20000,0.0375034,0.03227375,0.037475,0.04332874999999999
qaoa_7_fake_torino,qaoa,7,fake_torino,20000,0.035904000000000005,0.03017375,0.035899999999999994,0.042483749999999994
qaoa_8_fake_fez,qaoa,8,fake_fez,20000,0.040184199999999996,0.0346475,0.040150000000000005,0.04651249999999999
qaoa_8_fake_kyiv,qaoa,8,fake_kyiv,20000,0.0459077,0.04009000000000001,0.045825000000000005,0.052157499999999996
qaoa_8_fake_marrakesh,qaoa,8,fake_marrakesh,20000,0.037551499999999995,0.03192125,0.037599999999999995,0.043776249999999996
qaoa_8_fake_sherbrooke,qaoa,8,fake_sherbrooke,20000,0.044723399999999996,0.03922375,0.0446,0.0511525
qaoa_8_fake_torino,qaoa,8,fake_torino,20000,0.043999399999999994,0.03771875000000001,0.043925000000000006,0.050105
qaoa_9_fake_fez,qaoa,9,fake_fez,20000,0.0539067,0.048523750000000004,0.0539,0.059852499999999996
qaoa_9_fake_kyiv,qaoa,9,fake_kyiv,20000,0.0650117,0.05962375,0.06492500000000001,0.0706025
qaoa_9_fake_marrakesh,qaoa,9,fake_marrakesh,20000,0.0513494,0.045395,0.051375000000000004,0.057278749999999996
qaoa_9_fake_sherbrooke,qaoa,9,fake_sherbrooke,20000,0.0618958,0.05597125000000001,0.0619,0.06805499999999999
qaoa_9_fake_torino,qaoa,9,fake_torino,20000,0.060543,0.055,0.06044999999999999,0.067105
qft_10_fake_fez,qft,10,fake_fez,20000,0.1263421,0.1203,0.1264,0.13227875
qft_10_fake_kyiv,qft,10,fake_kyiv,20000,0.1263103,0.12061875,0.12617499999999998,0.13180000000000003
qft_10_fake_marrakesh,qft,10,fake_marrakesh,20000,0.1260213,0.1197,0.126,0.132
qft_10_fake_sherbrooke,qft,10,fake_sherbrooke,20000,0.1260468,0.1207,0.126,0.13215
qft_10_fake_torino,qft,10,fake_torino,20000,0.1264416,0.12002375000000001,0.1265,0.1327025
qft_11_fake_fez,qft,11,fake_fez,20000,0.17672449999999998,0.17092374999999999,0.17675000000000002,0.1821
qft_11_fake_kyiv,qft,11,fake_kyiv,20000,0.176923,0.17121875,0.17675000000000002,0.1828525
qft_11_fake_marrakesh,qft,11,fake_marrakesh,20000,0.1768403,0.17086874999999999,0.176825,0.18245
qft_11_fake_sherbrooke,qft,11,fake_sherbrooke,20000,0.17666250000000003,0.17099999999999999,0.17659999999999998,0.18223375
qft_11_fake_torino,qft,11,fake_torino,20000,0.17691739999999997,0.17112375000000002,0.176825,0.18265
qft_12_fake_fez,qft,12,fake_fez,20000,0.2440385,0.23795,0.24405,0.24962625
qft_12_fake_kyiv,qft,12,fake_kyiv,20000,0.24400199999999997,0.23757374999999997,0.244,0.24960249999999998
qft_12_fake_marrakesh,qft,12,fake_marrakesh,20000,0.24442770000000003,0.23832375,0.24445,0.25087625
qft_12_fake_sherbrooke,qft,12,fake_sherbrooke,20000,0.243087,0.2370475,0.24305,0.24902625
qft_12_fake_torino,qft,12,fake_torino,20000,0.2442041,0.238095,0.24412499999999998,0.2503
qft_13_fake_fez,qft,13,fake_fez,20000,0.32275469999999995,0.3173475,0.3228,0.3279525
qft_13_fake_kyiv,qft,13,fake_kyiv,20000,0.32383720000000005,0.3183975,0.32375,0.32947625
qft_13_fake_marrakesh,qft,13,fake_marrakesh,20000,0.32351330000000006,0.31735,0.323475,0.329355
qft_13_fake_sherbrooke,qft,13,fake_sherbrooke,20000,0.32243140000000003,0.31652375,0.32255,0.32807625
qft_13_fake_torino,qft,13,fake_torino,20000,0.3230113,0.3168975,0.322975,0.32983125
qft_14_fake_fez,qft,14,fake_fez,20000,0.39789440000000004,0.39204500000000003,0.39792500000000003,0.4035
qft_14_fake_kyiv,qft,14,fake_kyiv,20000,0.39629280000000006,0.39069750000000003,0.3962,0.40245000000000003
qft_14_fake_marrakesh,qft,14,fake_marrakesh,20000,0.39696590000000004,0.3906475,0.397025,0.40302625000000003
qft_14_fake_sherbrooke,qft,14,fake_sherbrooke,20000,0.39704370000000005,0.3913737500000001,0.397075,0.40242625
qft_14_fake_torino,qft,14,fake_torino,20000,0.3972312,0.3914475,0.39715,0.40270000000000006
qft_15_fake_fez,qft,15,fake_fez,20000,0.45115010000000005,0.44594750000000005,0.45105000000000006,0.4567
qft_15_fake_kyiv,qft,15,fake_kyiv,20000,0.45067270000000004,0.44462375000000004,0.4506,0.456505
qft_15_fake_marrakesh,qft,15,fake_marrakesh,20000,0.45001080000000004,0.44447375000000006,0.449875,0.45590250000000004
qft_15_fake_sherbrooke,qft,15,fake_sherbrooke,20000,0.45025430000000005,0.44417125,0.45025000000000004,0.45632875
qft_15_fake_torino,qft,15,fake_torino,20000,0.45064230000000005,0.4448687500000001,0.4506,0.45660000000000006
qft_4_fake_fez,qft,4,fake_fez,20000,0.015578499999999999,0.010347499999999992,0.015450000000000004,0.021702499999999993
